sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Cancer of bronchus; lung	Infection with drug-resistant microorganisms	17	NA	vumc
Cancer of bronchus; lung	Mycoses	17	NA	vumc
Cancer of bronchus; lung	Neoplasm of unspecified nature of digestive system	17	NA	vumc
Cancer of bronchus; lung	Cancer of other endocrine glands	17	NA	vumc
Cancer of bronchus; lung	Disorders of lipoid metabolism	17	NA	vumc
Cancer of bronchus; lung	Primary open angle glaucoma	17	NA	vumc
Cancer of bronchus; lung	Myopia	17	NA	vumc
Cancer of bronchus; lung	Allergic conjunctivitis	17	NA	vumc
Cancer of bronchus; lung	Atrioventricular block, complete	17	NA	vumc
Cancer of bronchus; lung	Heart transplant/surgery	17	NA	vumc
Cancer of bronchus; lung	Other disorders of peritoneum	17	NA	vumc
Cancer of bronchus; lung	Portal hypertension	17	NA	vumc
Cancer of bronchus; lung	Cellulitis and abscess of arm/hand	17	NA	vumc
Cancer of bronchus; lung	Other and unspecified disorders of back	17	NA	vumc
Cancer of bronchus; lung	Kyphoscoliosis and scoliosis	17	NA	vumc
Cancer of bronchus; lung	Stiffness of joint	17	NA	vumc
Cancer of bronchus; lung	Senile osteoporosis	17	NA	vumc
Cancer of bronchus; lung	Viral warts & HPV	16	NA	vumc
Cancer of bronchus; lung	Cancer of major salivary glands	16	NA	vumc
Cancer of bronchus; lung	Vitamin B-complex deficiencies	16	NA	vumc
Cancer of bronchus; lung	Dementias	16	NA	vumc
Cancer of bronchus; lung	Cerebral ischemia	16	NA	vumc
Cancer of bronchus; lung	Dyspepsia and other specified disorders of function of stomach	16	NA	vumc
Cancer of bronchus; lung	Ventral hernia	16	NA	vumc
Cancer of bronchus; lung	Symptoms involving digestive system	16	NA	vumc
Cancer of bronchus; lung	Kidney replaced by transpant	16	NA	vumc
Cancer of bronchus; lung	Psoriasis vulgaris	16	NA	vumc
Cancer of bronchus; lung	Acquired foot deformities	16	NA	vumc
Cancer of bronchus; lung	Acquired spondylolisthesis	16	NA	vumc
Cancer of bronchus; lung	Symptoms involving nervous and musculoskeletal systems	16	NA	vumc
Cancer of bronchus; lung	Sprains and strains	16	NA	vumc
Cancer of bronchus; lung	Cervical cancer	15	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of ovary	15	NA	vumc
Cancer of bronchus; lung	Myeloproliferative disease	15	NA	vumc
Cancer of bronchus; lung	Hyperparathyroidism	15	NA	vumc
Cancer of bronchus; lung	Sleep disorders	15	NA	vumc
Cancer of bronchus; lung	Partial epilepsy	15	NA	vumc
Cancer of bronchus; lung	Macular degeneration, dry	15	NA	vumc
Cancer of bronchus; lung	Macular degeneration (senile) of retina NOS	15	NA	vumc
Cancer of bronchus; lung	Dermatochalasis	15	NA	vumc
Cancer of bronchus; lung	Cerebrovascular disease	15	NA	vumc
Cancer of bronchus; lung	Phlebitis and thrombophlebitis	15	NA	vumc
Cancer of bronchus; lung	Disorders of diaphragm	15	NA	vumc
Cancer of bronchus; lung	Hematemesis	15	NA	vumc
Cancer of bronchus; lung	Pain and other symptoms associated with female genital organs	15	NA	vumc
Cancer of bronchus; lung	Complications of transplants and reattached limbs	15	NA	vumc
Cancer of bronchus; lung	Cancer of nasopharynx	14	NA	vumc
Cancer of bronchus; lung	Type 2 diabetes with ophthalmic manifestations	14	NA	vumc
Cancer of bronchus; lung	Impaired fasting glucose	14	NA	vumc
Cancer of bronchus; lung	Ovarian dysfunction	14	NA	vumc
Cancer of bronchus; lung	Nutritional marasmus	14	NA	vumc
Cancer of bronchus; lung	Disorders of mineral metabolism	14	NA	vumc
Cancer of bronchus; lung	Overweight, obesity and other hyperalimentation	14	NA	vumc
Cancer of bronchus; lung	Hemorrhagic disorder due to intrinsic circulating anticoagulants	14	NA	vumc
Cancer of bronchus; lung	Other paralytic syndromes	14	NA	vumc
Cancer of bronchus; lung	Disturbances of sensation of smell and taste	14	NA	vumc
Cancer of bronchus; lung	Uveitis, noninfectious or NOS	14	NA	vumc
Cancer of bronchus; lung	Left bundle branch block	14	NA	vumc
Cancer of bronchus; lung	Phlebitis and thrombophlebitis of lower extremities	14	NA	vumc
Cancer of bronchus; lung	Bronchitis	14	NA	vumc
Cancer of bronchus; lung	Respiratory abnormalities	14	NA	vumc
Cancer of bronchus; lung	Respiratory complications	14	NA	vumc
Cancer of bronchus; lung	Ileostomy status	14	NA	vumc
Cancer of bronchus; lung	Renal osteodystrophy	14	NA	vumc
Cancer of bronchus; lung	Other disorders of bladder	14	NA	vumc
Cancer of bronchus; lung	Osteomyelitis, periostitis, and other infections involving bone	14	NA	vumc
Cancer of bronchus; lung	Joint effusions	14	NA	vumc
Cancer of bronchus; lung	Cardiogenic shock	14	NA	vumc
Cancer of bronchus; lung	Fracture of humerus	14	NA	vumc
Cancer of bronchus; lung	Complication of internal orthopedic device	14	NA	vumc
Cancer of bronchus; lung	Open wounds of extremities	14	NA	vumc
Cancer of bronchus; lung	Hepatitis NOS	13	NA	vumc
Cancer of bronchus; lung	Cancer of liver and intrahepatic bile duct	13	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of retroperitoneum and peritoneum	13	NA	vumc
Cancer of bronchus; lung	Myeloid leukemia, acute	13	NA	vumc
Cancer of bronchus; lung	Simple and unspecified goiter	13	NA	vumc
Cancer of bronchus; lung	Coagulation defects	13	NA	vumc
Cancer of bronchus; lung	Primary hypercoagulable state	13	NA	vumc
Cancer of bronchus; lung	Retinal vascular changes and abnomalities	13	NA	vumc
Cancer of bronchus; lung	Nonrheumatic tricuspid valve disorders	13	NA	vumc
Cancer of bronchus; lung	Premature beats	13	NA	vumc
Cancer of bronchus; lung	Cerebral atherosclerosis	13	NA	vumc
Cancer of bronchus; lung	Idiopathic fibrosing alveolitis	13	NA	vumc
Cancer of bronchus; lung	Esophageal bleeding (varices/hemorrhage)	13	NA	vumc
Cancer of bronchus; lung	Gastric ulcer	13	NA	vumc
Cancer of bronchus; lung	Renal dialysis	13	NA	vumc
Cancer of bronchus; lung	Cystic mastopathy	13	NA	vumc
Cancer of bronchus; lung	Postmenopausal atrophic vaginitis	13	NA	vumc
Cancer of bronchus; lung	Seborrheic dermatitis	13	NA	vumc
Cancer of bronchus; lung	Corns and callosities	13	NA	vumc
Cancer of bronchus; lung	Rheumatoid arthritis and other inflammatory polyarthropathies	13	NA	vumc
Cancer of bronchus; lung	Spondylosis with myelopathy	13	NA	vumc
Cancer of bronchus; lung	Hallux valgus (Bunion)	13	NA	vumc
Cancer of bronchus; lung	Osteoarthritis; localized	13	NA	vumc
Cancer of bronchus; lung	Cardiac shunt/ heart septal defect	13	NA	vumc
Cancer of bronchus; lung	Fracture of unspecified part of femur	13	NA	vumc
Cancer of bronchus; lung	Fracture of ankle and foot	13	NA	vumc
Cancer of bronchus; lung	Fracture of radius and ulna	13	NA	vumc
Cancer of bronchus; lung	Rotator cuff (capsule) sprain	13	NA	vumc
Cancer of bronchus; lung	Histoplasmosis	12	NA	vumc
Cancer of bronchus; lung	Acquired absence of breast	12	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of ovary and other uterine adnexa	12	NA	vumc
Cancer of bronchus; lung	Cancer of other lymphoid, histiocytic tissue	12	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of lip, oral cavity, and pharynx	12	NA	vumc
Cancer of bronchus; lung	Hypoglycemia	12	NA	vumc
Cancer of bronchus; lung	Testicular hypofunction	12	NA	vumc
Cancer of bronchus; lung	Pernicious anemia	12	NA	vumc
Cancer of bronchus; lung	Symptoms involving head and neck	12	NA	vumc
Cancer of bronchus; lung	Alcoholic liver damage	12	NA	vumc
Cancer of bronchus; lung	Essential tremor	12	NA	vumc
Cancer of bronchus; lung	Epilepsy	12	NA	vumc
Cancer of bronchus; lung	Macular puckering of retina	12	NA	vumc
Cancer of bronchus; lung	Hypotension	12	NA	vumc
Cancer of bronchus; lung	Hemorrhage NOS	12	NA	vumc
Cancer of bronchus; lung	Gastrointestinal complications	12	NA	vumc
Cancer of bronchus; lung	Pyelonephritis	12	NA	vumc
Cancer of bronchus; lung	Oliguria and anuria	12	NA	vumc
Cancer of bronchus; lung	Systemic lupus erythematosus	12	NA	vumc
Cancer of bronchus; lung	Aseptic necrosis of bone	12	NA	vumc
Cancer of bronchus; lung	Fracture of pelvis	12	NA	vumc
Cancer of bronchus; lung	Poisoning/allergy of sulfonamides	12	NA	vumc
Cancer of bronchus; lung	Opiates and related narcotics causing adverse effects in therapeutic use	12	NA	vumc
Cancer of bronchus; lung	Personal history of allergy to medicinal agents	12	NA	vumc
Cancer of bronchus; lung	Aspergillosis	11	NA	vumc
Cancer of bronchus; lung	Carcinoma in situ of skin	11	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of brain, cranial nerves, meninges	11	NA	vumc
Cancer of bronchus; lung	Type 1 diabetes with neurological manifestations	11	NA	vumc
Cancer of bronchus; lung	Diabetes type 2 with peripheral circulatory disorders	11	NA	vumc
Cancer of bronchus; lung	Other disorders of metabolism	11	NA	vumc
Cancer of bronchus; lung	Aplastic anemia	11	NA	vumc
Cancer of bronchus; lung	Disorders of the autonomic nervous system	11	NA	vumc
Cancer of bronchus; lung	Blindness and low vision	11	NA	vumc
Cancer of bronchus; lung	Otitis externa	11	NA	vumc
Cancer of bronchus; lung	Suppurative and unspecified otitis media	11	NA	vumc
Cancer of bronchus; lung	Tinnitus	11	NA	vumc
Cancer of bronchus; lung	Paroxysmal tachycardia, unspecified	11	NA	vumc
Cancer of bronchus; lung	Occlusion of cerebral arteries, with cerebral infarction	11	NA	vumc
Cancer of bronchus; lung	Arterial embolism and thrombosis	11	NA	vumc
Cancer of bronchus; lung	Aortic ectasia	11	NA	vumc
Cancer of bronchus; lung	Iatrogenic pulmonary embolism and infarction	11	NA	vumc
Cancer of bronchus; lung	Iatrogenic hypotension	11	NA	vumc
Cancer of bronchus; lung	Chronic laryngitis	11	NA	vumc
Cancer of bronchus; lung	Influenza	11	NA	vumc
Cancer of bronchus; lung	Stomatitis and mucositis (ulcerative)	11	NA	vumc
Cancer of bronchus; lung	Hemorrhage from gastrointestinal ulcer	11	NA	vumc
Cancer of bronchus; lung	Duodenal ulcer	11	NA	vumc
Cancer of bronchus; lung	Gastritis and duodenitis, NOS	11	NA	vumc
Cancer of bronchus; lung	Abdominal hernia	11	NA	vumc
Cancer of bronchus; lung	Other disorders of gallbladder	11	NA	vumc
Cancer of bronchus; lung	Chronic pancreatitis	11	NA	vumc
Cancer of bronchus; lung	Other disorders of male genital organs	11	NA	vumc
Cancer of bronchus; lung	Ovarian cyst	11	NA	vumc
Cancer of bronchus; lung	Cellulitis and abscess of face/neck	11	NA	vumc
Cancer of bronchus; lung	Rosacea	11	NA	vumc
Cancer of bronchus; lung	Rupture of tendon, nontraumatic	11	NA	vumc
Cancer of bronchus; lung	Fracture of hand or wrist	11	NA	vumc
Cancer of bronchus; lung	Certain early complications of trauma or procedure	11	NA	vumc
Cancer of bronchus; lung	HIV infection, symptomatic	10	NA	vumc
Cancer of bronchus; lung	Viral infection	10	NA	vumc
Cancer of bronchus; lung	Althete's foot	10	NA	vumc
Cancer of bronchus; lung	Other infectious and parasitic diseases	10	NA	vumc
Cancer of bronchus; lung	Breast cancer [female]	10	NA	vumc
Cancer of bronchus; lung	Cancer of eye	10	NA	vumc
Cancer of bronchus; lung	Cancer of brain and nervous system	10	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of other parts of digestive system	10	NA	vumc
Cancer of bronchus; lung	Uterine leiomyoma	10	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of adrenal gland	10	NA	vumc
Cancer of bronchus; lung	Graves' disease	10	NA	vumc
Cancer of bronchus; lung	Secondary diabetes mellitus	10	NA	vumc
Cancer of bronchus; lung	Other disorders of pancreatic internal secretion	10	NA	vumc
Cancer of bronchus; lung	Hyperglyceridemia	10	NA	vumc
Cancer of bronchus; lung	Gouty arthropathy	10	NA	vumc
Cancer of bronchus; lung	Meningitis	10	NA	vumc
Cancer of bronchus; lung	Parkinson's disease	10	NA	vumc
Cancer of bronchus; lung	Multiple sclerosis	10	NA	vumc
Cancer of bronchus; lung	Coma	10	NA	vumc
Cancer of bronchus; lung	Macular degeneration, wet	10	NA	vumc
Cancer of bronchus; lung	Other nondiabetic retinopathy	10	NA	vumc
Cancer of bronchus; lung	Right bundle branch block	10	NA	vumc
Cancer of bronchus; lung	Arterial embolism and thrombosis of lower extremity artery	10	NA	vumc
Cancer of bronchus; lung	Encounter for long-term (current) use of antiplatelets/antithrombotics	10	NA	vumc
Cancer of bronchus; lung	Pseudomonal pneumonia	10	NA	vumc
Cancer of bronchus; lung	MRSA pneumonia	10	NA	vumc
Cancer of bronchus; lung	Pneumonia due to fungus (mycoses)	10	NA	vumc
Cancer of bronchus; lung	Asthma with exacerbation	10	NA	vumc
Cancer of bronchus; lung	Tracheostomy complications	10	NA	vumc
Cancer of bronchus; lung	Other specified gastritis	10	NA	vumc
Cancer of bronchus; lung	Ulcerative colitis	10	NA	vumc
Cancer of bronchus; lung	Peritoneal or intestinal adhesions	10	NA	vumc
Cancer of bronchus; lung	Splenomegaly	10	NA	vumc
Cancer of bronchus; lung	Microscopic hematuria	10	NA	vumc
Cancer of bronchus; lung	Calculus of ureter	10	NA	vumc
Cancer of bronchus; lung	Prolapse of vaginal walls	10	NA	vumc
Cancer of bronchus; lung	Menopausal and postmenopausal disorders	10	NA	vumc
Cancer of bronchus; lung	Acute osteomyelitis	10	NA	vumc
Cancer of bronchus; lung	Bursitis	10	NA	vumc
Cancer of bronchus; lung	Abnormal tumor markers	10	NA	vumc
Cancer of bronchus; lung	Fracture of lower limb	10	NA	vumc
Cancer of bronchus; lung	Poisoning by antibiotics	10	NA	vumc
Cancer of bronchus; lung	Adrenal cortical steroids causing adverse effects in therapeutic use	10	NA	vumc
Cancer of bronchus; lung	Herpes zoster with nervous system complications	9	NA	vumc
Cancer of bronchus; lung	Herpes simplex	9	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of uterus	9	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of testis	9	NA	vumc
Cancer of bronchus; lung	Lymphoid leukemia, chronic	9	NA	vumc
Cancer of bronchus; lung	Paraproteinemia	9	NA	vumc
Cancer of bronchus; lung	Disorders of iron metabolism	9	NA	vumc
Cancer of bronchus; lung	Posttraumatic stress disorder	9	NA	vumc
Cancer of bronchus; lung	Nonspecific abnormal findings on radiological and other examination of skull and head	9	NA	vumc
Cancer of bronchus; lung	Keratoconjunctivitis sicca	9	NA	vumc
Cancer of bronchus; lung	Ptosis of eyelid	9	NA	vumc
Cancer of bronchus; lung	Otitis media	9	NA	vumc
Cancer of bronchus; lung	Mitral valve stenosis and aortic valve stenosis	9	NA	vumc
Cancer of bronchus; lung	Hypertensive heart and/or renal disease	9	NA	vumc
Cancer of bronchus; lung	Acute pericarditis	9	NA	vumc
Cancer of bronchus; lung	Other symptoms of respiratory system	9	NA	vumc
Cancer of bronchus; lung	Bariatric surgery	9	NA	vumc
Cancer of bronchus; lung	Cyst and pseudocyst of pancreas	9	NA	vumc
Cancer of bronchus; lung	Abnormal results of function study of kidney	9	NA	vumc
Cancer of bronchus; lung	Postlaminectomy syndrome	9	NA	vumc
Cancer of bronchus; lung	Other derangement of joint	9	NA	vumc
Cancer of bronchus; lung	Elevated carcinoembryonic antigen [CEA]	9	NA	vumc
Cancer of bronchus; lung	Fracture of foot	9	NA	vumc
Cancer of bronchus; lung	Tuberculosis	8	NA	vumc
Cancer of bronchus; lung	Cancer of the mouth floor	8	NA	vumc
Cancer of bronchus; lung	Hodgkin's disease	8	NA	vumc
Cancer of bronchus; lung	Lymphoid leukemia, acute	8	NA	vumc
Cancer of bronchus; lung	Nevus, non-neoplastic	8	NA	vumc
Cancer of bronchus; lung	Thyroiditis	8	NA	vumc
Cancer of bronchus; lung	Hypoparathyroidism	8	NA	vumc
Cancer of bronchus; lung	Abnormal weight gain	8	NA	vumc
Cancer of bronchus; lung	Hypercoagulable state	8	NA	vumc
Cancer of bronchus; lung	Cerebral degeneration, unspecified	8	NA	vumc
Cancer of bronchus; lung	Generalized convulsive epilepsy	8	NA	vumc
Cancer of bronchus; lung	Trigeminal nerve disorders [CN5]	8	NA	vumc
Cancer of bronchus; lung	Facial nerve disorders [CN7]	8	NA	vumc
Cancer of bronchus; lung	Myoneural disorders	8	NA	vumc
Cancer of bronchus; lung	Peripheral or central vertigo	8	NA	vumc
Cancer of bronchus; lung	Primary pulmonary hypertension	8	NA	vumc
Cancer of bronchus; lung	Atherosclerosis of renal artery	8	NA	vumc
Cancer of bronchus; lung	Other specified peripheral vascular diseases	8	NA	vumc
Cancer of bronchus; lung	Chronic venous insufficiency [CVI]	8	NA	vumc
Cancer of bronchus; lung	Acute laryngitis and tracheitis	8	NA	vumc
Cancer of bronchus; lung	Regional enteritis	8	NA	vumc
Cancer of bronchus; lung	Liver replaced by transplant	8	NA	vumc
Cancer of bronchus; lung	Cholelithiasis and cholecystitis	8	NA	vumc
Cancer of bronchus; lung	Nephritis and nephropathy in diseases classified elsewhere	8	NA	vumc
Cancer of bronchus; lung	Other dyschromia	8	NA	vumc
Cancer of bronchus; lung	Diseases of nail, NOS	8	NA	vumc
Cancer of bronchus; lung	Sacroiliitis NEC	8	NA	vumc
Cancer of bronchus; lung	Flat foot	8	NA	vumc
Cancer of bronchus; lung	Symptoms of the muscles	8	NA	vumc
Cancer of bronchus; lung	Abnormal posture	8	NA	vumc
Cancer of bronchus; lung	Fracture of upper limb	8	NA	vumc
Cancer of bronchus; lung	Non-healing surgical wound	8	NA	vumc
Cancer of bronchus; lung	Viral hepatitis B	7	NA	vumc
Cancer of bronchus; lung	Human immunodeficiency virus [HIV] disease	7	NA	vumc
Cancer of bronchus; lung	Breast cancer [male]	7	NA	vumc
Cancer of bronchus; lung	Leukemia	7	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of eye, uveal	7	NA	vumc
Cancer of bronchus; lung	Toxic multinodular goiter	7	NA	vumc
Cancer of bronchus; lung	Other specified disorders of plasma protein metabolism	7	NA	vumc
Cancer of bronchus; lung	Deficiency anemias	7	NA	vumc
Cancer of bronchus; lung	Agorophobia, social phobia, and panic disorder	7	NA	vumc
Cancer of bronchus; lung	Retinal detachment with retinal defect	7	NA	vumc
Cancer of bronchus; lung	Drusen (degenerative) of retina	7	NA	vumc
Cancer of bronchus; lung	Chorioretinal scars	7	NA	vumc
Cancer of bronchus; lung	Astigmatism	7	NA	vumc
Cancer of bronchus; lung	Visual field defects	7	NA	vumc
Cancer of bronchus; lung	Subjective visual disturbances	7	NA	vumc
Cancer of bronchus; lung	Conjunctivitis, noninfectious	7	NA	vumc
Cancer of bronchus; lung	Conductive hearing loss	7	NA	vumc
Cancer of bronchus; lung	ASCVD	7	NA	vumc
Cancer of bronchus; lung	Subarachnoid hemorrhage	7	NA	vumc
Cancer of bronchus; lung	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	7	NA	vumc
Cancer of bronchus; lung	Postnasal drip	7	NA	vumc
Cancer of bronchus; lung	Abnormal sputum	7	NA	vumc
Cancer of bronchus; lung	Intestinal malabsorption (non-celiac)	7	NA	vumc
Cancer of bronchus; lung	Obstruction of bile duct	7	NA	vumc
Cancer of bronchus; lung	Urinary obstruction	7	NA	vumc
Cancer of bronchus; lung	Other specified disorders of breast	7	NA	vumc
Cancer of bronchus; lung	Noninflammatory disorders of vagina	7	NA	vumc
Cancer of bronchus; lung	Postmenopausal bleeding	7	NA	vumc
Cancer of bronchus; lung	Cellulitis and abscess of fingers/toes	7	NA	vumc
Cancer of bronchus; lung	Cellulitis and abscess of foot, toe	7	NA	vumc
Cancer of bronchus; lung	Other hypertrophic and atrophic conditions of skin	7	NA	vumc
Cancer of bronchus; lung	Other symptoms referable to back	7	NA	vumc
Cancer of bronchus; lung	Other disorders of soft tissues	7	NA	vumc
Cancer of bronchus; lung	Malunion and nonunion of fracture	7	NA	vumc
Cancer of bronchus; lung	Kyphosis (acquired)	7	NA	vumc
Cancer of bronchus; lung	Elevated sedimentation rate	7	NA	vumc
Cancer of bronchus; lung	Anaphylactic shock NOS	7	NA	vumc
Cancer of bronchus; lung	Allergies, other	7	NA	vumc
